epoch,train_loss,train_acc,val_loss,val_acc,val_ba
1,0.4675268907230217,0.7751748251748252,0.22470722564883958,0.9251870324189526,0.9084817813765182
2,0.35758738150963415,0.8396853146853147,0.25501688683122176,0.9052369077306733,0.9314574898785426
3,0.30410131629738774,0.8671328671328671,0.5829868768516027,0.7231920199501247,0.8292307692307692
4,0.28484269327425454,0.8776223776223776,0.4279923305249868,0.8329177057356608,0.8969230769230769
5,0.11796829379945212,0.9594405594405594,0.1573691546203954,0.942643391521197,0.9646153846153847
6,0.037053254431246296,0.9872377622377623,0.1478771226024232,0.9675810473815462,0.98
7,0.03706314170641916,0.9868881118881119,0.09964076128195765,0.9576059850374065,0.9738461538461538
8,0.028680670468803817,0.9889860139860139,0.17077162104473054,0.9526184538653366,0.9707692307692308
9,0.02096999206154502,0.993006993006993,0.1481287432323919,0.970074812967581,0.9764979757085019
10,0.017330627234168405,0.9951048951048951,0.10981711341379362,0.9750623441396509,0.9745344129554656
11,0.0160524168267921,0.9944055944055944,0.07650462274545307,0.9800498753117207,0.9876923076923076
12,0.020929280582157418,0.9924825174825175,0.25008777536171956,0.9376558603491272,0.9615384615384616
13,0.030795175208191354,0.990909090909091,0.22234445885211365,0.9451371571072319,0.9661538461538461
14,0.01267270415968838,0.9958041958041958,0.13291635270252752,0.9551122194513716,0.9723076923076923
15,0.012228568926758061,0.9956293706293706,0.18920492816343037,0.9526184538653366,0.9707692307692308
16,0.0046135592690865505,0.9986013986013986,0.1255236675561637,0.9750623441396509,0.9846153846153847
17,0.002789960121012532,0.9991258741258742,0.1567743299213162,0.9501246882793017,0.9692307692307692
18,0.0014569964030291809,0.9994755244755245,0.15674979817253135,0.9526184538653366,0.9707692307692308
19,0.00298943640462223,0.9987762237762238,0.1583912214495798,0.9476309226932669,0.9676923076923076
